,Name,Theme,Filter,transformation,splines
1693,Preços - IPC - grupo: transportes - RMSP - var.,Preços,0,1,1
1697,Preços - IPC - grupo: despesas pessoais - RMSP - var.,Preços,0,1,1
1701,Preços - IPC - grupo: saúde - RMSP - var.,Preços,0,1,1
1705,Preços - IPC - grupo: vestuário - RMSP - var.,Preços,0,1,1
1709,Preços - IPC - grupo: educação - RMSP - var.,Preços,0,1,1
1713,Preços - IPC -1ª quadrissemana (FIPE),Preços,1,1,1
1714,Preços - IPC -2ª quadrissemana (FIPE),Preços,1,1,1
1715,Preços - IPC -3ª quadrissemana (FIPE),Preços,1,3,1
1716,Preços - IPC - geral - índice (jun. 1994 = 100) - RMSP,Preços,1,0,1
1727,Preços - IGP-10 - geral - índice (ago. 1994 = 100),Preços,1,0,1
1728,Preços - IGP-DI - geral - índice (ago. 1994 = 100),Preços,1,0,1
1729,Preços - IGP-DI,Preços,1,3,1
1730,Preços - IGP-DI - geral - centrado - fim período - índice (ago. 1994 = 100),Preços,1,0,1
1731,Preços - IGP-M - geral - índice (ago. 1994 = 100),Preços,1,0,1
1732,Preços - IGP-M,Preços,1,3,1
1733,Preços - IGP-M - 1º decêndio,Preços,1,3,1
1734,Preços - IGP-M - 2º decêndio,Preços,1,3,1
1735,Preços - IGP-OG - geral - índice (ago. 1994 = 100),Preços,1,0,1
1736,Preços - IGP-OG,Preços,1,3,1
1737,Preços - INCC-10 - geral - índice (ago. 1994 = 100),Preços,1,0,1
1738,Preços - INCC-DI - geral - índice (ago. 1994 = 100),Preços,1,0,1
1739,Preços - INCC-DI,Preços,1,1,1
1740,Preços - INCC-M,Preços,1,1,1
1741,Preços - INCC-M - 1º decêndio,Preços,1,3,1
1742,Preços - INCC-M - 2º decêndio,Preços,1,3,1
1743,Preços - IPA-10 - geral - índice (ago. 1994 = 100),Preços,1,0,1
1744,Preços - IPA-DI - origem - prod. agropecuários - índice (ago. 1994 = 100),Preços,1,0,1
1745,Preços - IPA-DI - geral - índice (ago. 1994 = 100),Preços,1,0,1
1746,Preços - IPA-DI,Preços,1,3,1
1747,Preços - IPA-DI - origem - prod. industriais - índice (ago. 1994 = 100),Preços,1,0,1
1748,Preços - IPA-M,Preços,1,1,1
1749,Preços - IPA-M - 1º decêndio,Preços,1,3,1
1750,Preços - IPA-M - 2º decêndio,Preços,1,3,1
1751,Preços - IPC-10 - geral - índice (ago. 1994 = 100),Preços,1,0,1
1752,Preços - IPC-DI - geral - índice (ago. 1994 = 100),Preços,1,0,1
1753,Preços - IPC-DI (FGV),Preços,1,3,1
1754,Preços - IPC-M,Preços,1,3,1
1755,Preços - IPC-M - 1º decêndio,Preços,1,3,1
1756,Preços - IPC-M - 2º decêndio,Preços,1,3,1
1790,Preços - INPC - geral - índice (dez. 1993 = 100),Preços,1,0,1
1791,Preços - INPC - alimentos e bebidas - var.,Preços,1,3,1
1792,Preços - INPC -artigos de residência - var.,Preços,1,3,1
1793,Preços -INPC - geral,Preços,1,3,1
1794,Preços - INPC - despesas pessoais - var.,Preços,1,3,1
1797,Preços - INPC - habitação - var.,Preços,1,1,1
1798,Preços - INPC - saúde e cuidados pessoais - var.,Preços,1,3,1
1799,Preços - INPC -transportes - var.,Preços,1,3,1
1800,Preços - INPC - vestuário - var.,Preços,1,3,1
1801,Preços - IPCA - geral - índice (dez. 1993 = 100),Preços,1,0,1
1803,Preços - IPCA - alimentos e bebidas - var.,Preços,1,1,1
1804,Preços - IPCA - artigos de residência - var.,Preços,1,3,1
1805,Preços - IPCA - despesas pessoais - var.,Preços,1,1,1
1808,Preços - IPCA - geral,Preços,1,3,1
1809,Preços - IPCA - habitação - var.,Preços,1,3,1
1810,Preços - IPCA - saúde e cuidados pessoais - var.,Preços,1,3,1
1811,Preços - IPCA - RMSP - var.,Preços,1,3,1
1812,Preços - IPCA - transportes - var.,Preços,1,3,1
1813,Preços - IPCA - vestuário - var.,Preços,1,3,1
1814,Reservas internacionais,Balanço de pagamentos,0,0,0
1815,Balanço de Pagam. - Ativos de reserva,Balanço de pagamentos,0,1,0
1816,Balanço de Pagam. - Balança comercial - Saldo,Balanço de pagamentos,0,1,0
1817,Balanço de Pagam. - Balança comercial - Importações,Balanço de pagamentos,0,0,0
1818,Balanço de Pagam. - Balança comercial - Exportações,Balanço de pagamentos,0,0,0
1819,Balanço de Pagam. - Conta Financeira - Saldo (Captações - Concessões),Balanço de pagamentos,0,1,0
1820,Balanço de Pagam. - Conta capital - Saldo,Balanço de pagamentos,0,1,0
1821,Balanço de Pagam. - Conta capital - Desp.,Balanço de pagamentos,0,2,0
1822,Balanço de Pagam. - Conta capital - Rec.,Balanço de pagamentos,0,0,0
1823,Balanço de Pagam. - Outros invest. - Créd. comerciais e adiantamentos - Saldo (Passivos - Ativos),Balanço de pagamentos,0,1,0
1824,Balanço de Pagam. - Outros invest. - Créd. comerciais e adiantamentos - Ativos,Balanço de pagamentos,0,3,0
1825,Balanço de Pagam. - Outros invest. - Créd. comerciais e adiantamentos - Passivos,Balanço de pagamentos,0,1,0
1826,Balanço de Pagam. - Derivativos - Saldo (Passivos - Ativos),Balanço de pagamentos,0,1,0
1827,Balanço de Pagam. - Derivativos - Ativos,Balanço de pagamentos,0,1,0
1828,Balanço de Pagam. - Derivativos - Passivos,Balanço de pagamentos,0,1,0
1829,Balanço de Pagam. - Outros invest. - Empréstimos - Saldo,Balanço de pagamentos,0,1,0
1830,Balanço de Pagam. - Outros invest. - Empréstimos - Ativos - Saldo,Balanço de pagamentos,0,1,0
1831,Balanço de Pagam. - Outros invest. - Empréstimos - Ativos - Ingressos,Balanço de pagamentos,0,1,0
1832,Balanço de Pagam. - Outros invest. - Empréstimos - Ativos - Saídas,Balanço de pagamentos,0,1,0
1833,Balanço de Pagam. - Outros invest. - Empréstimos - Passivos - Saldo,Balanço de pagamentos,0,1,0
1834,Balanço de Pagam. - Outros invest. - Empréstimos - Passivos - Ingressos,Balanço de pagamentos,0,0,0
1835,Balanço de Pagam. - Outros invest. - Empréstimos - Passivos - Saídas,Balanço de pagamentos,0,0,0
1836,Balanço de Pagam. - Erros e omissões,Balanço de pagamentos,0,1,0
1837,Balanço de Pagam. - Emprést. e tít. de CP negoc. merc. externo - Saldo,Balanço de pagamentos,0,1,0
1838,Balanço de Pagam. - Emprést. e tít. de LP negoc. merc. externo - Saldo,Balanço de pagamentos,0,1,0
1839,Balanço de Pagam. - Emprést. e tít. de LP negoc. merc. externo - Amortizações,Balanço de pagamentos,0,0,0
1840,Balanço de Pagam. - Emprést. e tít. de LP negoc. merc. externo - Amortizações - Demais emprést.,Balanço de pagamentos,0,0,0
1841,Balanço de Pagam. - Emprést. e tít. de LP negoc. merc. externo - Amortizações - Emprést. diretos,Balanço de pagamentos,0,0,0
1842,Balanço de Pagam. - Emprést. e tít. de LP negoc. merc. externo - Amortizações - Títulos priv.,Balanço de pagamentos,0,0,0
1843,Balanço de Pagam. - Emprést. e tít. de LP negoc. merc. externo - Amortizações - Títulos púb.,Balanço de pagamentos,0,3,0
1844,Balanço de Pagam. - Emprést. e tít. de LP negoc. merc. externo - Ingressos,Balanço de pagamentos,0,0,0
1845,Balanço de Pagam. - Emprést. e tít. de LP negoc. merc. externo - Ingressos - Demais emprést.,Balanço de pagamentos,0,0,0
1846,Balanço de Pagam. - Emprést. e tít. de LP negoc. merc. externo - Ingressos - Emprést. Diretos,Balanço de pagamentos,0,0,0
1847,Balanço de Pagam. - Emprést. e tít. de LP negoc. merc. externo - Ingressos - Títulos priv.,Balanço de pagamentos,0,0,0
1848,Balanço de Pagam. - Emprést. e tít. de LP negoc. merc. externo - Ingressos - Títulos púb.,Balanço de pagamentos,0,3,0
1852,Balanço de Pagam. - Invest. cart. - Ativos - Saldo,Balanço de pagamentos,0,1,0
1853,Balanço de Pagam. - Invest. cart. - Ativos - Invest. ações - Saldo,Balanço de pagamentos,0,1,0
1854,Balanço de Pagam. - Invest. cart. - Ativos - Invest. ações - Aquisição,Balanço de pagamentos,0,0,0
1855,Balanço de Pagam. - Invest. cart. - Ativos - Invest. ações - Venda,Balanço de pagamentos,0,2,0
1856,Balanço de Pagam. - Invest. cart. - Ativos - Desp.,Balanço de pagamentos,0,0,0
1857,Balanço de Pagam. - Invest. cart. - Ativos - Invest. fundos de investimento - Saldo,Balanço de pagamentos,0,1,0
1858,Balanço de Pagam. - Invest. cart. - Ativos - Invest. fundos de investimento - Aquisição,Balanço de pagamentos,0,0,0
1859,Balanço de Pagam. - Invest. cart. - Ativos - Invest. fundos de investimento - Venda,Balanço de pagamentos,0,0,0
1860,Balanço de Pagam. - Invest. cart. - Ativos - Rec.,Balanço de pagamentos,0,0,0
1861,Balanço de Pagam. - Invest. cart. - Ativos - Títulos renda fixa - Saldo,Balanço de pagamentos,0,1,0
1862,Balanço de Pagam. - Invest. cart. - Ativos - Títulos renda fixa - Aquisição,Balanço de pagamentos,0,3,0
1863,Balanço de Pagam. - Invest. cart. - Ativos - Títulos renda fixa - Venda,Balanço de pagamentos,0,1,0
1864,Balanço de Pagam. - Invest. cart. - Passivos - Saldo,Balanço de pagamentos,0,1,0
1865,Balanço de Pagam. - Invest. cart. - Passivos - invest. ações - Saldo,Balanço de pagamentos,0,1,0
1866,Balanço de Pagam. - Invest. cart. - Passivos - invest. ações - Ingressos,Balanço de pagamentos,0,0,0
1867,Balanço de Pagam. - Invest. cart. - Passivos - invest. ações - Saídas,Balanço de pagamentos,0,0,0
1868,Balanço de Pagam. - Invest. cart. - Passivos - Desp.,Balanço de pagamentos,0,0,0
1869,Balanço de Pagam. - Invest. cart. - Passivos - Invest. fundos de investimento - Saldo,Balanço de pagamentos,0,3,0
1870,Balanço de Pagam. - Invest. cart. - Passivos - Invest. fundos de investimento - Ingressos,Balanço de pagamentos,0,2,0
1871,Balanço de Pagam. - Invest. cart. - Passivos - Invest. fundos de investimento - Saídas,Balanço de pagamentos,0,2,0
1872,Balanço de Pagam. - Invest. cart. - Passivos - Rec.,Balanço de pagamentos,0,0,0
1873,Balanço de Pagam. - Invest. cart. - Passivos - Títulos de renda fixa - Saldo,Balanço de pagamentos,0,1,0
1874,Balanço de Pagam. - Invest. cart. - Passivos - Tít. renda fixa negoc. merc. doméstico - Saldo,Balanço de pagamentos,0,1,0
1875,Balanço de Pagam. - Invest. cart. - Passivos - Tít. renda fixa negoc. merc. doméstico - Ingressos,Balanço de pagamentos,0,0,0
1876,Balanço de Pagam. - Invest. cart. - Passivos - Tít. renda fixa negoc. merc. doméstico - Saídas,Balanço de pagamentos,0,0,0
1877,Balanço de Pagam. - Invest. cart. - Passivos - Títulos de renda fixa - Ingressos,Balanço de pagamentos,0,0,0
1878,Balanço de Pagam. - Invest. cart. - Passivos - Tít. renda fixa negoc. merc. internacional - Saldo,Balanço de pagamentos,0,1,0
1879,Balanço de Pagam. - Invest. cart. - Passivos- Tít. renda fixa negoc. merc. internacional - Ingressos,Balanço de pagamentos,0,0,0
1880,Balanço de Pagam. - Invest. cart. - Passivos - Tít. renda fixa negoc. merc. internacional - Saídas,Balanço de pagamentos,0,0,0
1881,Balanço de Pagam. - Invest. cart. - Passivos - Títulos de renda fixa - Saídas,Balanço de pagamentos,0,0,0
1882,Balanço de Pagam. - Invest. dir. ext. - Saldo,Balanço de pagamentos,0,1,0
1883,Balanço de Pagam. - Invest. dir. ext. - Ingressos,Balanço de pagamentos,0,0,0
1884,Balanço de Pagam. - Invest. dir. ext. - Op. intercompanhia - Saldo,Balanço de pagamentos,0,3,0
1885,Balanço de Pagam. - Invest. dir. ext. - Op. intercompanhia -  Amortizações recebidas do exterior,Balanço de pagamentos,0,2,0
1886,Balanço de Pagam. - Invest. dir. ext. - Op. intercompanhia - Créditos concedidos ao exterior,Balanço de pagamentos,0,2,0
1887,Balanço de Pagam. - Invest. dir. ext. - Particip. capital - Saldo,Balanço de pagamentos,0,1,0
1888,Balanço de Pagam. - Invest. dir. ext. - Particip. capital - Ingressos,Balanço de pagamentos,0,0,0
1890,Balanço de Pagam. - Invest. dir. ext. - Particip. capital - Saídas,Balanço de pagamentos,0,1,0
1891,Balanço de Pagam. - Invest. dir. ext. - Saídas,Balanço de pagamentos,0,1,0
1892,Balanço de Pagam. - Invest. dir. país - Saldo,Balanço de pagamentos,0,1,0
1893,Balanço de Pagam. - Invest. dir. país - Ingressos,Balanço de pagamentos,0,0,0
1894,Balanço de Pagam. - Invest. dir. país - Op. intercompanhia - Saldo,Balanço de pagamentos,0,1,0
1895,Balanço de Pagam. - Invest. dir. país - Op. intercompanhia - Amortizações pagas ao exterior,Balanço de pagamentos,0,0,0
1896,Balanço de Pagam. - Invest. dir. país - Op. intercompanhia - Créditos recebidos do exterior,Balanço de pagamentos,0,0,0
1897,Balanço de Pagam. - Invest. dir. país - Particip. capital - Saldo,Balanço de pagamentos,0,1,0
1898,Balanço de Pagam. - Invest. dir. país - Particip. capital - Ingressos,Balanço de pagamentos,0,0,0
1900,Balanço de Pagam. - Invest. dir. país - Particip. capital - Saídas,Balanço de pagamentos,0,0,0
1901,Balanço de Pagam. - Invest. dir. país - Saídas,Balanço de pagamentos,0,0,0
1902,Balanço de Pagam. - Outros invest. - Moeda e depósitos - Saldo (Passivos - Ativos),Balanço de pagamentos,0,1,0
1903,Balanço de Pagam. - Outros invest. - Moeda e depósitos - Ativos,Balanço de pagamentos,0,1,0
1904,Balanço de Pagam. - Outros invest. - Moeda e depósitos - Passivos,Balanço de pagamentos,0,1,0
1905,Balanço de Pagam. - Outros invest. - Saldo (Passivos - Ativos),Balanço de pagamentos,0,1,0
1906,Balanço de Pagam. - Outros invest. - Ativos,Balanço de pagamentos,0,1,0
1907,Balanço de Pagam. - Outros invest. - Passivos,Balanço de pagamentos,0,1,0
1908,Balanço de Pagam. - Renda prim. - Saldo,Balanço de pagamentos,0,1,0
1909,Balanço de Pagam. - Renda prim. - Desp.,Balanço de pagamentos,0,0,0
1910,Balanço de Pagam. - Renda prim. - Renda invest. cart. - Saldo,Balanço de pagamentos,0,1,0
1911,Balanço de Pagam. - Renda prim. - Renda invest. cart. - Desp.,Balanço de pagamentos,0,0,0
1912,Balanço de Pagam. - Renda prim. - Renda invest. cart. - Juros de tít. negoc. merc. dom. - Desp.,Balanço de pagamentos,0,3,0
1913,Balanço de Pagam. - Renda prim. - Renda invest. cart. - Juros de tít. negoc. merc. ext. - Saldo,Balanço de pagamentos,0,1,0
1914,Balanço de Pagam. - Renda prim. - Renda invest. cart. - Juros de tít. negoc. merc. ext. - Desp.,Balanço de pagamentos,0,0,0
1915,Balanço de Pagam. - Renda prim. - Renda invest. cart. - Juros de tít. negoc. merc. ext. - Rec.,Balanço de pagamentos,0,2,0
1916,Balanço de Pagam. - Renda prim. - Renda invest. cart. - Lucros e dividendos - Saldo,Balanço de pagamentos,0,1,0
1917,Balanço de Pagam. - Renda prim. - Renda invest. cart. - Lucros e dividendos - Desp.,Balanço de pagamentos,0,0,0
1918,Balanço de Pagam. - Renda prim. - Renda invest. cart. - Lucros e dividendos - Rec.,Balanço de pagamentos,0,2,0
1919,Balanço de Pagam. - Renda prim. - Renda invest. cart. - Rec.,Balanço de pagamentos,0,0,0
1920,Balanço de Pagam. - Renda prim. - Renda invest. dir. - Saldo,Balanço de pagamentos,0,1,0
1921,Balanço de Pagam. - Renda prim. - Renda invest. dir. - Desp.,Balanço de pagamentos,0,0,0
1922,Balanço de Pagam. - Renda prim. - Renda invest. dir. - Juros de op. intercompanhia - Saldo,Balanço de pagamentos,0,1,0
1923,Balanço de Pagam. - Renda prim. - Renda invest. dir. - Juros de op. intercompanhia - Desp.,Balanço de pagamentos,0,0,0
1924,Balanço de Pagam. - Renda prim. - Renda invest. dir. - Juros de op. intercompanhia - Rec.,Balanço de pagamentos,0,0,0
1925,"Balanço de Pagam. - Renda prim.- Renda invest. dir.- Lucros e dividendos, exceto reinvestidos -Saldo",Balanço de pagamentos,0,1,0
1926,"Balanço de Pagam. - Renda prim.- Renda invest. dir.- Lucros e dividendos, exceto reinvestidos -Desp.",Balanço de pagamentos,0,0,0
1927,"Balanço de Pagam. - Renda prim.- Renda invest. dir.- Lucros e dividendos, exceto reinvestidos - Rec.",Balanço de pagamentos,0,0,0
1931,Balanço de Pagam. - Renda prim. - Renda invest. dir. - Rec.,Balanço de pagamentos,0,1,0
1932,Balanço de Pagam. - Renda prim. - Renda de outros invest. (inclui juros) - Saldo,Balanço de pagamentos,0,1,0
1933,Balanço de Pagam. - Renda prim. - Renda de outros invest. (inclui juros) - Desp.,Balanço de pagamentos,0,0,0
1934,Balanço de Pagam. - Renda prim. - Renda de outros invest. (inclui juros) - Rec.,Balanço de pagamentos,0,0,0
1935,Balanço de Pagam. - Renda prim. - Rec.,Balanço de pagamentos,0,0,0
1936,Balanço de Pagam. - Renda prim. - Renda de reservas - Rec.,Balanço de pagamentos,0,0,0
1937,Balanço de Pagam. - Renda prim. - Salários e ordenados - Saldo,Balanço de pagamentos,0,1,0
1938,Balanço de Pagam. - Renda prim. - Salários e ordenados - Desp.,Balanço de pagamentos,0,0,0
1939,Balanço de Pagam. - Renda prim. - Salários e ordenados - Rec.,Balanço de pagamentos,0,0,0
1940,Balanço de Pagam. - Renda sec. - Saldo,Balanço de pagamentos,0,1,0
1941,Balanço de Pagam. - Renda sec. - Desp.,Balanço de pagamentos,0,0,0
1942,Balanço de Pagam. - Renda sec. - Rec.,Balanço de pagamentos,0,0,0
1943,Balanço de Pagam. - Serviços - Saldo,Balanço de pagamentos,0,1,0
1944,Balanço de Pagam. - Serviços - Aluguel de equipamentos - Saldo,Balanço de pagamentos,0,1,0
1945,Balanço de Pagam. - Serviços - Aluguel de equipamentos - Desp.,Balanço de pagamentos,0,0,0
1946,Balanço de Pagam. - Serviços - Aluguel de equipamentos - Rec.,Balanço de pagamentos,0,2,0
1947,Balanço de Pagam. - Serviços - Construção - Saldo,Balanço de pagamentos,0,3,0
1948,Balanço de Pagam. - Serviços - Construção - Desp.,Balanço de pagamentos,0,2,0
1949,Balanço de Pagam. - Serviços - Construção - Rec.,Balanço de pagamentos,0,2,0
1950,"Balanço de Pagam. - Serviços - Serv. culturais, pessoais e recreativos - Saldo",Balanço de pagamentos,0,1,0
1951,"Balanço de Pagam. - Serviços - Serv. culturais, pessoais e recreativos - Desp.",Balanço de pagamentos,0,0,0
1952,"Balanço de Pagam. - Serviços - Serv. culturais, pessoais e recreativos - Rec.",Balanço de pagamentos,0,0,0
1953,Balanço de Pagam. - Serviços - Desp.,Balanço de pagamentos,0,0,0
1954,Balanço de Pagam. - Serviços - Serv. financeiros - Saldo,Balanço de pagamentos,0,1,0
1955,Balanço de Pagam. - Serviços - Serv. financeiros - Desp.,Balanço de pagamentos,0,0,0
1956,Balanço de Pagam. - Serviços - Serv. financeiros - Rec.,Balanço de pagamentos,0,0,0
1957,Balanço de Pagam. - Serviços - Serv. governamentais - Saldo,Balanço de pagamentos,0,1,0
1958,Balanço de Pagam. - Serviços - Serv. governamentais - Desp.,Balanço de pagamentos,0,0,0
1959,Balanço de Pagam. - Serviços - Serv. governamentais - Rec.,Balanço de pagamentos,0,0,0
1960,Balanço de Pagam. - Serviços - Serv. de propriedade intelectual - Saldo,Balanço de pagamentos,0,1,0
1961,Balanço de Pagam. - Serviços - Serv. de propriedade intelectual - Desp.,Balanço de pagamentos,0,0,0
1962,Balanço de Pagam. - Serviços - Serv. de propriedade intelectual - Rec.,Balanço de pagamentos,0,0,0
1963,Balanço de Pagam. - Serviços - Serv. manuf. sobre insumos físicos pert. a outros - Saldo,Balanço de pagamentos,0,3,0
1964,Balanço de Pagam. - Serviços - Serv. manuf. sobre insumos físicos pert. a outros - Desp.,Balanço de pagamentos,0,2,0
1965,Balanço de Pagam. - Serviços - Serv. manuf. sobre insumos físicos pert. a outros - Rec.,Balanço de pagamentos,0,2,0
1966,Balanço de Pagam. - Serviços - Serv. manut. e reparo - Saldo,Balanço de pagamentos,0,1,0
1967,Balanço de Pagam. - Serviços - Serv. manut. e reparo - Desp.,Balanço de pagamentos,0,2,0
1968,Balanço de Pagam. - Serviços - Serv. manut. e reparo - Rec.,Balanço de pagamentos,0,0,0
1969,Balanço de Pagam. - Serviços - Outros serv. de negócio - Saldo,Balanço de pagamentos,0,1,0
1970,Balanço de Pagam. - Serviços - Outros serv. de negócio - Desp.,Balanço de pagamentos,0,0,0
1971,Balanço de Pagam. - Serviços - Outros serv. de negócio - Rec.,Balanço de pagamentos,0,0,0
1972,Balanço de Pagam. - Serviços - Rec.,Balanço de pagamentos,0,0,0
1973,Balanço de Pagam. - Serviços - Seguros - Saldo,Balanço de pagamentos,0,1,0
1974,Balanço de Pagam. - Serviços - Seguros - Desp.,Balanço de pagamentos,0,0,0
1975,Balanço de Pagam. - Serviços - Seguros - Rec.,Balanço de pagamentos,0,0,0
1976,"Balanço de Pagam. - Serviços - Telecomunicação, computação e informações - Saldo",Balanço de pagamentos,0,1,0
1977,"Balanço de Pagam. - Serviços - Telecomunicação, computação e informações - Desp.",Balanço de pagamentos,0,0,0
1978,"Balanço de Pagam. - Serviços - Telecomunicação, computação e informações - Rec.",Balanço de pagamentos,0,1,0
1979,Balanço de Pagam. - Serviços - Transportes - Saldo,Balanço de pagamentos,0,1,0
1980,Balanço de Pagam. - Serviços - Transportes - Desp.,Balanço de pagamentos,0,0,0
1981,Balanço de Pagam. - Serviços - Transportes - Rec.,Balanço de pagamentos,0,0,0
1982,Balanço de Pagam. - Serviços - Viagens - Saldo,Balanço de pagamentos,0,1,0
1983,Balanço de Pagam. - Serviços - Viagens - Desp.,Balanço de pagamentos,0,0,0
1984,Balanço de Pagam. - Serviços - Viagens - Rec.,Balanço de pagamentos,0,0,0
1985,Balanço de Pagam. - Transações correntes - Saldo,Balanço de pagamentos,0,1,0
1990,Horas trabalhadas - indústria - índice (média 2006 = 100),Emprego,1,0,0
1991,Horas trabalhadas - indústria - índice dessaz. (média 2006 = 100),Emprego,1,0,0
1992,Pessoal empregado - indústria - índice (média 2006 = 100),Emprego,1,0,0
1993,Pessoal empregado - indústria - índice dessaz. (média 2006 = 100),Emprego,1,0,0
2011,Salário mínimo - paridade do poder de compra (PPC),Salário e renda,1,0,0
2012,Salário mínimo real,Salário e renda,1,0,0
2013,Salário mínimo,Salário e renda,1,0,0
2029,Dívida pública total,Sinopse macroeconômica,0,0,0
2030,Taxa de câmbio nominal,Sinopse macroeconômica,0,0,0
2031,Índice Geral de Preços (IGP-DI),Sinopse macroeconômica,0,1,1
2032,Índice de Preços ao Consumidor Ampliado (IPCA),Sinopse macroeconômica,0,3,1
2034,Balança comercial - Importações (BPM6),Sinopse macroeconômica,0,0,0
2040,Balança comercial - Saldo (BPM6),Sinopse macroeconômica,0,1,0
2041,Transações correntes - Saldo (BPM6),Sinopse macroeconômica,0,1,0
2043,Taxa de juros nominal - Over / Selic,Sinopse macroeconômica,0,0,0
2044,Balança comercial - Exportações (BPM6),Sinopse macroeconômica,0,0,0
2058,Índice de confiança do consumidor (ICC),Percepção e expectativa,1,0,0
2059,Índice de expectativas (IEC),Percepção e expectativa,1,0,0
2060,Índice de ações - Ibovespa - fechamento,Financeiras,1,1,0
2061,Poupança - rendimento nominal - 1º dia útil (até 03.05.2012),Financeiras,1,0,0
2066,Poupança - rendimento até 03.05.2012 - Rentabilidade - 1º dia do mês,Financeiras,0,0,0
2067,Taxa de juros - CDI / Over - acumulada no mês,Financeiras,1,0,0
2068,Taxa de juros - TJLP,Financeiras,0,0,0
2069,Taxa de juros - Over / Selic - acumulada no mês,Financeiras,1,0,0
2071,Taxa de juros - TR - primeiro dia do mês,Financeiras,0,2,0
2076,Caderneta de poupança (total) - Saldos,Financeiras,1,0,0
2077,Número de dias úteis,Financeiras,0,0,0
2078,Exportações (Kg) - Gasolina,Comércio exterior,1,0,0
2079,Fundo de garantia por tempo de serviço (FGTS) - arrecadação bruta,Finanças públicas,0,0,0
2080,Taxa de desemprego - RMSP,Emprego,1,0,0
